"sex","age_group","count"
"Females","55 - 64 years",3258
"Females","65 - 74 years",2068
"Males","0 - 4 years",122
"Females","25 - 44 years",17851
"Females","45 - 54 years",4230
"Persons","55 - 64 years",6729
"Persons","65 - 74 years",4222
"Persons","75 - 84 years",1769
"Males","55 - 64 years",3467
"Persons","25 - 44 years",37259
"Males","75 - 84 years",932
"Persons","45 - 54 years",9820
"Females","85 years and over",321
"Males","45 - 54 years",5587
"Males","15 - 24 years",3247
"Males","25 - 44 years",19412
"Persons","85 years and over",586
"Males","5 - 14 years",2125
"Females","75 - 84 years",835
"Females","0 - 4 years",120
"Persons","15 - 24 years",6283
"Females","15 - 24 years",3026
"Females","5 - 14 years",1857
"Persons","0 - 4 years",240
"Persons","5 - 14 years",3984
"Males","85 years and over",264
"Males","65 - 74 years",2155
