"income_band_weekly","income_band_annual","count"
"Negative income","",818
"Nil income","",7736
"$1-$149","$1-$7799",1847
"$150-$299","$7800-$15599",3973
"$300-$399","$15600-$20799",5397
"$400-$499","$20800-$25999",3991
"$500-$649","$26000-$33799",4642
"$650-$799","$33800-$41599",3961
"$800-$999","$41600-$51999",4853
"$1000-$1249","$52000-$64999",5603
"$1250-$1499","$65000-$77999",4376
"$1500-$1749","$78000-$90999",4027
"$1750-$1999","$91000-$103999",3222
"$2000-$2999","$104000-$155999",6309
"$3000-$3499","$156000-$181999",1607
"$3500 or more","$182000 or more",2657
"Not stated","",1668
"Not applicable","",4225
