"industry","count"
"Agriculture, Forestry and Fishing",129
"Mining",476
"Manufacturing",2218
"Electricity, Gas, Water and Waste Services",526
"Construction",4177
"Wholesale Trade",934
"Retail Trade",2937
"Accommodation and Food Services",1402
"Transport, Postal and Warehousing",1829
"Information Media and Telecommunications",710
"Financial and Insurance Services",1265
"Rental, Hiring and Real Estate Services",358
"Professional, Scientific and Technical Services",5419
"Administrative and Support Services",655
"Public Administration and Safety",1601
"Education and Training",3404
"Health Care and Social Assistance",6317
"Arts and Recreation Services",239
"Other Services",1390
"Inadequately described",1572
"Not stated",667
"Not applicable",32668
