"religion","gen","count","total","pct"
"Islam","1st Generation",14451,52450,27.6
"Islam","2nd Generation",2733,17146,15.9
"Secular/No religion","1st Generation",24264,52450,46.3
"Secular/No religion","2nd Generation",9169,17146,53.5
"Christianity","1st Generation",6075,52450,11.6
"Christianity","2nd Generation",2296,17146,13.4
"Other Religions","1st Generation",7580,52450,14.5
"Other Religions","2nd Generation",2815,17146,16.4
"Judaism","1st Generation",24,52450,0.0
"Judaism","2nd Generation",59,17146,0.3
"Buddhism","1st Generation",37,52450,0.1
"Buddhism","2nd Generation",43,17146,0.3
"Hinduism","1st Generation",12,52450,0.0
"Hinduism","2nd Generation",29,17146,0.2
