"pull","variable_1","value_1","variable_2","value_2","variable_3","value_3","count","source"
"compound_abc","BPLP","Iran","ANCP","Iranian","LANP","Persian (excl Dari)",47824,"ABS TableBuilder Pro, Census 2021"
"compound_ab","BPLP","Iran","ANCP","Iranian","","",56289,"ABS TableBuilder Pro, Census 2021"
"compound_ac","BPLP","Iran","LANP","Persian (excl Dari)","","",52575,"ABS TableBuilder Pro, Census 2021"
"compound_bc","ANCP","Iranian","LANP","Persian (excl Dari)","","",58167,"ABS TableBuilder Pro, Census 2021"
"total_persian","LANP","Persian (excl Dari)","","","","",72498,"ABS TableBuilder Pro, Census 2021"
"mother_total","BPFP","Iran","","","","",83938,"ABS TableBuilder Pro, Census 2021"
"mother_auborn","BPFP","Iran","BPLP","Australia","","",17497,"ABS TableBuilder Pro, Census 2021"
"father_total","BPMP","Iran","","","","",85717,"ABS TableBuilder Pro, Census 2021"
"father_auborn","BPMP","Iran","BPLP","Australia","","",19085,"ABS TableBuilder Pro, Census 2021"
"both_parents_auborn","BPFP","Iran","BPMP","Iran","BPLP","Australia",12586,"ABS TableBuilder Pro, Census 2021"
"mother_auborn_ancestry","BPFP","Iran","ANCP","Iranian","BPLP","Australia",11793,"ABS TableBuilder Pro, Census 2021"
"mother_auborn_persian","BPFP","Iran","LANP","Persian (excl Dari)","BPLP","Australia",8626,"ABS TableBuilder Pro, Census 2021"
"father_auborn_ancestry","BPMP","Iran","ANCP","Iranian","BPLP","Australia",13443,"ABS TableBuilder Pro, Census 2021"
"father_auborn_persian","BPMP","Iran","LANP","Persian (excl Dari)","BPLP","Australia",8443,"ABS TableBuilder Pro, Census 2021"
