"lga_name","state","count"
"Brisbane","Queensland",4848
"Parramatta","New South Wales",3525
"Manningham","Victoria",3023
"The Hills Shire","New South Wales",2985
"Whittlesea","Victoria",2390
"Blacktown","New South Wales",2142
"Hornsby","New South Wales",1995
"Ryde","New South Wales",1989
"Cumberland","New South Wales",1951
"Casey","Victoria",1855
"Ku-ring-gai","New South Wales",1504
"Fairfield","New South Wales",1243
"Whitehorse","Victoria",1171
"Stirling","Western Australia",1119
"Unincorporated ACT","Australian Capital Territory",1109
"Gold Coast","Queensland",1058
"Liverpool","New South Wales",1009
"Knox","Victoria",957
"Monash","Victoria",940
"Hume","Victoria",929
"Sydney","New South Wales",913
"Melbourne","Victoria",912
"Boroondara","Victoria",817
"Salisbury","South Australia",791
"Maroondah","Victoria",787
"Wyndham","Victoria",762
"Northern Beaches","New South Wales",759
"Banyule","Victoria",753
"Greater Dandenong","Victoria",723
"Logan","Queensland",679
"Port Adelaide Enfield","South Australia",644
"Canterbury-Bankstown","New South Wales",631
"Melville","Western Australia",582
"Willoughby","New South Wales",561
"Moreland","Victoria",561
"Penrith","New South Wales",548
"Lane Cove","New South Wales",533
"Greater Geelong","Victoria",528
"Wanneroo","Western Australia",508
"Joondalup","Western Australia",465
"Canada Bay","New South Wales",460
"Marion","South Australia",454
"Moonee Valley","Victoria",441
"Brimbank","Victoria",440
"North Sydney","New South Wales",432
"Darebin","Victoria",422
"Campbelltown (SA)","South Australia",421
"Bayside (NSW)","New South Wales",417
"Canning","Western Australia",409
"Moreton Bay","Queensland",389
"Gosnells","Western Australia",383
"Tea Tree Gully","South Australia",382
"Cockburn","Western Australia",381
"Swan","Western Australia",366
"Randwick","New South Wales",365
"Port Phillip","Victoria",360
"Burnside","South Australia",333
"Onkaparinga","South Australia",326
"Stonnington","Victoria",324
"Melton","Victoria",319
"Wollongong","New South Wales",319
"Inner West","New South Wales",316
"Charles Sturt","South Australia",312
"Yarra Ranges","Victoria",310
"South Perth","Western Australia",298
"Campbelltown (NSW)","New South Wales",293
"Perth","Western Australia",284
"Bayswater","Western Australia",266
"Nillumbik","Victoria",260
"Glen Eira","Victoria",243
"Ipswich","Queensland",243
"Newcastle","New South Wales",241
"Central Coast (NSW)","New South Wales",218
"West Torrens","South Australia",213
"Kingston (Vic.)","Victoria",212
"Sutherland Shire","New South Wales",207
"Camden","New South Wales",204
"Hobsons Bay","Victoria",200
"Launceston","Tasmania",199
"Playford","South Australia",194
"Norwood Payneham and St Peters","South Australia",186
"Mitcham","South Australia",183
"Adelaide","South Australia",182
"Bayside (Vic.)","Victoria",179
"Maribyrnong","Victoria",174
"Holdfast Bay","South Australia",166
"Sunshine Coast","Queensland",162
"Georges River","New South Wales",161
"Yarra","Victoria",161
"Toowoomba","Queensland",151
"Unley","South Australia",143
"Victoria Park","Western Australia",139
"Woollahra","New South Wales",137
"Belmont","Western Australia",136
"Frankston","Victoria",127
"Waverley","New South Wales",127
"Armadale","Western Australia",124
"Greater Shepparton","Victoria",120
"Redland","Queensland",113
"Cardinia","Victoria",105
"Lake Macquarie","New South Wales",102
"Hobart","Tasmania",102
"Subiaco","Western Australia",97
"Cambridge","Western Australia",93
"Vincent","Western Australia",92
"Strathfield","New South Wales",83
"Nedlands","Western Australia",83
"Hunters Hill","New South Wales",79
"Glenorchy","Tasmania",75
"Mosman","New South Wales",75
"Darwin","Northern Territory",74
"Ballarat","Victoria",72
"Wagga Wagga","New South Wales",71
"Prospect","South Australia",68
"Mandurah","Western Australia",68
"Townsville","Queensland",67
"Walkerville","South Australia",66
"Cairns","Queensland",64
"Rockingham","Western Australia",62
"Kwinana","Western Australia",59
"Hawkesbury","New South Wales",58
"Greater Bendigo","Victoria",56
"Kingborough","Tasmania",55
"Burwood","New South Wales",55
"Queanbeyan-Palerang Regional","New South Wales",52
"Mornington Peninsula","Victoria",52
"Shoalhaven","New South Wales",48
"Armidale Regional","New South Wales",44
"Shellharbour","New South Wales",42
"Kalgoorlie-Boulder","Western Australia",41
"Claremont","Western Australia",39
"Adelaide Hills","South Australia",39
"Wingecarribee","New South Wales",37
"West Tamar","Tasmania",37
"Blue Mountains","New South Wales",35
"Mackay","Queensland",34
"Maitland","New South Wales",33
"Fremantle","Western Australia",32
"Clarence","Tasmania",32
"Bathurst Regional","New South Wales",31
"Kalamunda","Western Australia",31
"Tamworth Regional","New South Wales",30
"Northam","Western Australia",30
"Mildura","Victoria",29
"Mount Barker","South Australia",28
"No usual address (NSW)","New South Wales",28
"Mid-Coast","New South Wales",27
"Port Macquarie-Hastings","New South Wales",27
"Bundaberg","Queensland",26
"Rockhampton","Queensland",26
"Dubbo Regional","New South Wales",26
"Mosman Park","Western Australia",25
"Albury","New South Wales",25
"Wollondilly","New South Wales",24
"Serpentine-Jarrahdale","Western Australia",24
"No usual address (Vic.)","Victoria",24
"Ballina","New South Wales",24
"Wodonga","Victoria",23
"Gladstone","Queensland",23
"Bunbury","Western Australia",23
"Orange","New South Wales",21
"Lismore","New South Wales",21
