"sa2_name","state","count"
"Doncaster","Victoria",807
"Doncaster East - South","Victoria",512
"North Parramatta","New South Wales",510
"Baulkham Hills - East","New South Wales",497
"Doncaster East - North","Victoria",465
"Macquarie Park - Marsfield","New South Wales",455
"Ryde - North","New South Wales",450
"Wentworth Point - Sydney Olympic Park","New South Wales",446
"Templestowe","Victoria",440
"Asquith - Mount Colah","New South Wales",418
"Carlingford - West","New South Wales",406
"Ermington - Rydalmere","New South Wales",399
"St Ives","New South Wales",394
"Merrylands - Holroyd","New South Wales",385
"Northmead","New South Wales",366
"Guildford West - Merrylands West","New South Wales",363
"North Kellyville","New South Wales",353
"Templestowe Lower","Victoria",338
"Ryde - South","New South Wales",334
"Gordon - Killara","New South Wales",323
"Rouse Hill - Beaumont Hills","New South Wales",310
"Cherrybrook","New South Wales",307
"Wahroonga (West) - Waitara","New South Wales",303
"Kellyville - East","New South Wales",298
"Dandenong - North","Victoria",289
"Chatswood (West) - Lane Cove North","New South Wales",287
"Oatlands - Dundas Valley","New South Wales",286
"Schofields - East","New South Wales",275
"West Ryde - Meadowbank","New South Wales",271
"Hornsby - East","New South Wales",264
"Ringwood","Victoria",258
"Enfield - Blair Athol","South Australia",257
"Wollert","Victoria",254
"Lane Cove","New South Wales",251
"Donvale - Park Orchards","Victoria",251
"North Ryde - East Ryde","New South Wales",241
"Baulkham Hills (West) - Bella Vista","New South Wales",237
"Turramurra","New South Wales",235
"Castle Hill - South","New South Wales",232
"Kellyville Ridge - The Ponds","New South Wales",232
"Kellyville - West","New South Wales",219
"Normanhurst - Thornleigh - Westleigh","New South Wales",219
"Wahroonga (East) - Warrawee","New South Wales",213
"Balwyn North","Victoria",208
"Granville - Clyde","New South Wales",206
"Quakers Hill","New South Wales",205
"Bossley Park - Abbotsbury","New South Wales",205
"Stanhope Gardens - Parklea","New South Wales",202
"Guildford - South Granville","New South Wales",199
"Mill Park - North","Victoria",196
"Lalor Park - Kings Langley","New South Wales",194
"Southbank - East","Victoria",194
"Rostrevor - Magill","South Australia",190
"Castle Hill - North","New South Wales",186
"Fairfield","New South Wales",186
"Liverpool - East","New South Wales",183
"Pymble","New South Wales",182
"Wentworthville - Westmead","New South Wales",181
"Thomastown","Victoria",181
"Bulleen","Victoria",179
"Mernda - South","Victoria",175
"Paradise - Newton","South Australia",171
"Pennant Hills - Cheltenham","New South Wales",170
"Toongabbie - Constitution Hill","New South Wales",166
"Epping (Vic.) - West","Victoria",166
"Nollamara - Westminster","Western Australia",166
"Mitcham (Vic.)","Victoria",164
"South Morang - North","Victoria",163
"Narre Warren South - West","Victoria",161
"Booragoon","Western Australia",161
"Box Hill North","Victoria",160
"Rhodes","New South Wales",159
"Lindfield - Roseville","New South Wales",156
"South Morang - South","Victoria",153
"Epping (NSW) - West","New South Wales",152
"Doveton","Victoria",152
"West Pennant Hills","New South Wales",149
"Docklands","Victoria",148
"Greensborough","Victoria",148
"Castle Hill - Central","New South Wales",147
"Seventeen Mile Rocks - Sinnamon Park","Queensland",145
"Smithfield - Wetherill Park","New South Wales",144
"Burnside - Wattle Park","South Australia",143
"Dandenong North","Victoria",142
"Parramatta - North","New South Wales",141
"Chatswood - East","New South Wales",140
"Boronia","Victoria",140
"Point Cook - East","Victoria",140
"Windsor Gardens","South Australia",139
"Applecross - Ardross","Western Australia",139
"Mill Park - South","Victoria",138
"Knoxfield - Scoresby","Victoria",138
"Como","Western Australia",138
"Epping - East","Victoria",137
"Greenvale - Bulla","Victoria",137
"Ringwood East","Victoria",137
"Balga - Mirrabooka","Western Australia",137
"Box Hill","Victoria",136
"Bridgeman Downs","Queensland",136
"Eltham","Victoria",135
"Blackburn","Victoria",134
"Mernda - North","Victoria",134
"Hampton Park - East","Victoria",133
"North Rocks","New South Wales",131
"Rowville - Central","Victoria",131
"Adelaide","South Australia",131
"East Perth","Western Australia",131
"Forestville - Killarney Heights","New South Wales",130
"Chester Hill - Sefton","New South Wales",130
"Canning Vale - East","Western Australia",130
"North Sydney - Lavender Bay","New South Wales",129
"Frenchs Forest - Oxford Falls","New South Wales",129
"Mooroolbark","Victoria",129
"Box Hill - Nelson","New South Wales",128
"Fairfield - West","New South Wales",128
"Chapel Hill","Queensland",128
"Dural - Kenthurst - Wisemans Ferry","New South Wales",127
"Northgate - Northfield","South Australia",127
"Lalor - East","Victoria",126
"Parafield Gardens","South Australia",126
"Gladesville - Huntleys Point","New South Wales",125
"Lalor - West","Victoria",125
"Greystanes - South","New South Wales",124
"Narre Warren - North East","Victoria",124
"Broadmeadows","Victoria",123
"Mitchell Park","South Australia",122
"Morley","Western Australia",122
"Heidelberg West","Victoria",121
"Glen Waverley - West","Victoria",121
"Hope Valley - Modbury","South Australia",120
"Carlingford - East","New South Wales",119
"Croydon - East","Victoria",119
"Perth (West) - Northbridge","Western Australia",119
"Ballajura","Western Australia",119
"Hallam","Victoria",118
"Clayton (North) - Notting Hill","Victoria",118
"Beechboro","Western Australia",118
"Doreen - South","Victoria",117
"Blacktown (East) - Kings Park","New South Wales",116
"Narre Warren - South West","Victoria",115
"Wheelers Hill","Victoria",115
"Concord - Mortlake - Cabarita","New South Wales",114
"Balwyn","Victoria",114
"Viewbank - Yallambie","Victoria",114
"Springfield Lakes","Queensland",114
"Plympton","South Australia",114
"St Leonards - Naremburn","New South Wales",113
"Banjup","Western Australia",113
"Carindale","Queensland",111
"Toorak Gardens","South Australia",108
"Success - Hammond Park","Western Australia",107
"Auburn - Central","New South Wales",106
"Glen Waverley - East","Victoria",106
"South Brisbane","Queensland",106
"Salisbury","South Australia",106
"Zetland","New South Wales",105
"Epping (East) - North Epping","New South Wales",105
"Indooroopilly","Queensland",105
"Cecil Hills","New South Wales",104
"Gladstone Park - Westmeadows","Victoria",104
"Avondale Heights","Victoria",103
"Para Hills","South Australia",103
"Innaloo - Doubleview","Western Australia",103
"Eastwood","New South Wales",102
"Doreen - North","Victoria",101
"Forest Hill","Victoria",101
"St Lucia","Queensland",101
"Warradale","South Australia",101
"Nedlands - Dalkeith - Crawley","Western Australia",101
"Glenwood","New South Wales",100
"Glebe - Forest Lodge","New South Wales",100
"Waterloo","New South Wales",100
"West Hoxton - Middleton Grange","New South Wales",100
"Wantirna South","Victoria",100
"Parramatta - South","New South Wales",99
"South Yarra - North","Victoria",99
"Ashwood - Chadstone","Victoria",99
"Hornsby - West","New South Wales",98
"Carlton","Victoria",98
"Bonnyrigg Heights - Bonnyrigg","New South Wales",97
"Reservoir - North East","Victoria",97
"Cranbourne East - North","Victoria",97
"Dandenong - South","Victoria",97
"Subiaco - Shenton Park","Western Australia",97
"Crows Nest - Waverton","New South Wales",96
"Pemulwuy - Greystanes (North)","New South Wales",96
"Heidelberg - Rosanna","Victoria",96
"Endeavour Hills - North","Victoria",96
"Mulgrave","Victoria",96
"Taringa","Queensland",95
"Willoughby","New South Wales",94
"Ingle Farm","South Australia",94
"Belrose","New South Wales",93
"Ferntree Gully (South) - Upper Ferntree Gully","Victoria",93
"Dianella - North","Western Australia",93
"Riverton - Shelley - Rossmoyne","Western Australia",93
"Cremorne - Cammeray","New South Wales",92
"South Wentworthville","New South Wales",92
"Croydon - West","Victoria",92
"Brisbane City","Queensland",92
"South Perth - Kensington","Western Australia",92
"Glenmore Park - Regentville","New South Wales",91
"Winston Hills","New South Wales",91
"Hinchinbrook","New South Wales",91
"Edensor Park","New South Wales",91
"Albert Park","Victoria",91
"Endeavour Hills - South","Victoria",91
"Mount Waverley - South","Victoria",91
"Marsden","Queensland",91
"Belconnen","Australian Capital Territory",91
"Hampton Park - West","Victoria",90
"Castle Hill - West","New South Wales",89
"Fairfield - East","New South Wales",89
"Unley - Parkside","South Australia",89
"Stirling - Osborne Park","Western Australia",89
"Blacktown (North) - Marayong","New South Wales",88
"Greenwich - Riverview","New South Wales",88
"Highton","Victoria",88
"Newstead - Bowen Hills","Queensland",88
"Salisbury East","South Australia",87
"Burwood (Vic.)","Victoria",86
"Neutral Bay - Kirribilli","New South Wales",85
"Canley Vale - Canley Heights","New South Wales",85
"Rocklea - Acacia Ridge","Queensland",85
"Bentley - Wilson - St James","Western Australia",85
"Murdoch - Kardinya","Western Australia",85
"Doonside - Woodcroft","New South Wales",84
"Five Dock - Abbotsford","New South Wales",84
"Forest Lake - Ellen Grove","Queensland",84
"Camberwell","Victoria",83
"Point Cook - South","Victoria",83
"Tuart Hill - Joondanna","Western Australia",83
"Craigieburn - South","Victoria",82
"Nunawading","Victoria",82
"Wakerley","Queensland",82
"Beaumont - Glen Osmond","South Australia",82
"Pyrmont","New South Wales",81
"Kingswood - Werrington","New South Wales",81
"Point Cook - North East","Victoria",81
"Marino - Seaview Downs","South Australia",81
"Rosebery - Beaconsfield","New South Wales",80
"Middle Park - Jamboree Heights","Queensland",80
"Sydney (South) - Haymarket","New South Wales",79
"Yokine - Coolbinia - Menora","Western Australia",79
"Kingsford","New South Wales",78
"Bayswater","Victoria",77
"Oakleigh - Huntingdale","Victoria",77
"Glenroy - East","Victoria",76
"Wantirna","Victoria",76
"Southbank (West) - South Wharf","Victoria",75
"Calamvale - Stretton","Queensland",75
"Kangaroo Point","Queensland",75
"Highbury - Dernancourt","South Australia",75
"Bayswater - Embleton - Bedford","Western Australia",75
"Cannington - Queens Park","Western Australia",75
"Castle Cove - Northbridge","New South Wales",74
"Vermont South","Victoria",74
"Marsden Park - Shanes Park","New South Wales",73
"Penrith","New South Wales",73
"Blackburn South","Victoria",73
"Montmorency - Briar Hill","Victoria",73
"Glenroy - West","Victoria",73
"Ferntree Gully - North","Victoria",73
"Grovedale - Mount Duneed","Victoria",73
"Hindmarsh - Brompton","South Australia",73
"Richmond (SA)","South Australia",73
"Landsdale","Western Australia",73
"Dee Why - North","New South Wales",72
"Kew - West","Victoria",72
"Pascoe Vale","Victoria",72
"Berwick - South East","Victoria",72
"Cranbourne","Victoria",72
"Karrinyup - Gwelup - Carine","Western Australia",72
"Manning - Waterford","Western Australia",72
"Artarmon","New South Wales",71
"Green Valley","New South Wales",71
"Epping - South","Victoria",71
"Toowong","Queensland",71
"Valley View - Gilles Plains","South Australia",71
"Salisbury North","South Australia",71
"Wembley - West Leederville - Glendalough","Western Australia",71
"Joondalup - Edgewater","Western Australia",71
"Berowra - Brooklyn - Cowan","New South Wales",70
"Wollongong - East","New South Wales",70
"Melbourne CBD - West","Victoria",70
"Paralowie","South Australia",70
"Seven Hills - Prospect","New South Wales",69
"Wattle Glen - Diamond Creek","Victoria",69
"Craigieburn - West","Victoria",69
"Lynbrook - Lyndhurst","Victoria",69
"Annerley","Queensland",69
"Loganlea","Queensland",69
"Balcatta - Hamersley","Western Australia",69
"Keilor East","Victoria",68
