age_cohort,gender_label,education_level,n_unweighted,count,total_unweighted,total,percentage,reliability
30-34,Men,BA degree,86,3185.3458923569833,262,9703.95564201186,32.8,Reliable
30-34,Men,Graduate degree,120,4444.5526987420135,262,9703.95564201186,45.8,Reliable
30-34,Men,Less than BA degree,56,2074.057050912864,262,9703.95564201186,21.4,Reliable
30-34,Women,BA degree,98,3629.6639800726066,283,10481.610415818037,34.6,Reliable
30-34,Women,Graduate degree,137,5074.1374608674405,283,10481.610415818037,48.4,Reliable
30-34,Women,Less than BA degree,48,1777.80897487799,283,10481.610415818037,17,Reliable
35-44,Men,BA degree,116,4296.3981538679245,365,13518.794151423068,31.8,Reliable
35-44,Men,Graduate degree,166,6148.233461184323,365,13518.794151423068,45.5,Reliable
35-44,Men,Less than BA degree,83,3074.1625363708204,365,13518.794151423068,22.7,Reliable
35-44,Women,BA degree,169,6259.553522467927,410,15185.673516705623,41.2,Reliable
35-44,Women,Graduate degree,179,6629.781559296997,410,15185.673516705623,43.7,Reliable
35-44,Women,Less than BA degree,62,2296.3384349406992,410,15185.673516705623,15.1,Reliable
45-54,Men,BA degree,153,5666.756064545616,436,16148.212728914608,35.1,Reliable
45-54,Men,Graduate degree,144,5333.172898591187,436,16148.212728914608,33,Reliable
45-54,Men,Less than BA degree,139,5148.2837657778055,436,16148.212728914608,31.9,Reliable
45-54,Women,BA degree,213,7888.993341473926,460,17037.393082196933,46.3,Reliable
45-54,Women,Graduate degree,105,3889.028116170335,460,17037.393082196933,22.8,Reliable
45-54,Women,Less than BA degree,142,5259.371624552671,460,17037.393082196933,30.9,Reliable
55-64,Men,BA degree,128,4740.740696152498,445,16481.795268523238,28.8,Reliable
55-64,Men,Graduate degree,103,3814.785349385678,445,16481.795268523238,23.1,Reliable
55-64,Men,Less than BA degree,214,7926.26922298506,445,16481.795268523238,48.1,Reliable
55-64,Women,BA degree,119,4407.419894975053,362,13407.327546999124,32.9,Reliable
55-64,Women,Graduate degree,59,2185.1783164605154,362,13407.327546999124,16.3,Reliable
55-64,Women,Less than BA degree,184,6814.729335563555,362,13407.327546999124,50.8,Reliable
65-74,Men,BA degree,86,3185.2674806483587,266,9851.834436168685,32.3,Reliable
65-74,Men,Graduate degree,84,3111.035585937289,266,9851.834436168685,31.6,Reliable
65-74,Men,Less than BA degree,96,3555.5313695830373,266,9851.834436168685,36.1,Reliable
65-74,Women,BA degree,64,2370.3874812448944,234,8666.711851830583,27.4,Reliable
65-74,Women,Graduate degree,30,1111.1248395466503,234,8666.711851830583,12.8,Reliable
65-74,Women,Less than BA degree,140,5185.1995310390375,234,8666.711851830583,59.8,Reliable
75-84,Men,BA degree,34,1259.2869348908648,144,5333.500090586159,23.6,Reliable
75-84,Men,Graduate degree,45,1666.7318881038218,144,5333.500090586159,31.3,Reliable
75-84,Men,Less than BA degree,65,2407.4812675914723,144,5333.500090586159,45.1,Reliable
75-84,Women,BA degree,15,555.5570275671054,119,4407.50890978956,12.6,Reliable
75-84,Women,Graduate degree,14,518.5482342195503,119,4407.50890978956,11.8,Reliable
75-84,Women,Less than BA degree,90,3333.4036480029044,119,4407.50890978956,75.6,Reliable
