generation,gender_label,field_category,count,percentage
First-Generation,Men,STEM,43482.35634346101,61.9
First-Generation,Men,Business & Management,9852.042641740982,14
First-Generation,Men,Health,6074.0432025589,8.6
First-Generation,Men,Social Sciences & Humanities,6666.883479237916,9.5
First-Generation,Men,Other,4185.430530589966,6
First-Generation,Women,STEM,22963.793901033034,33.2
First-Generation,Women,Business & Management,10852.002329360079,15.7
First-Generation,Women,Health,11222.418356346161,16.2
First-Generation,Women,Social Sciences & Humanities,17407.908045938868,25.2
First-Generation,Women,Other,6666.739359053232,9.6
Second-Generation,Men,STEM,370.281083093215,30.3
Second-Generation,Men,Business & Management,407.45151316137134,33.3
Second-Generation,Men,Health,222.21920693136792,18.2
Second-Generation,Men,Social Sciences & Humanities,148.16363597456322,12.1
Second-Generation,Men,Other,74.0757082639394,6.1
Second-Generation,Women,STEM,148.14987589753022,16
Second-Generation,Women,Business & Management,259.2710358490779,28
Second-Generation,Women,Health,148.16363597456322,16
Second-Generation,Women,Social Sciences & Humanities,333.31065737462853,36
Second-Generation,Women,Other,37.0500735786541,4
