year,count,period_label,is_period,period_years,period_total,n_unweighted,reliability
1952,7.407570826393941,Before 1955,TRUE,5,37.0378541319697,1,Suppress
1957,7.41001471573082,1955-1959,TRUE,5,37.0500735786541,1,Suppress
1962,14.815141652787881,1960-1964,TRUE,5,74.0757082639394,2,Suppress
1967,81.48755061686767,1965-1969,TRUE,5,407.43775308433834,11,Use with caution
1972,96.29699443310552,1970-1974,TRUE,5,481.4849721655276,13,Use with caution
1977,237.04865261518657,1975-1979,TRUE,5,1185.2432630759329,32,Reliable
1982,955.5860148612979,1980-1984,TRUE,5,4777.93007430649,129,Reliable
1987,1688.8943724108417,1985-1989,TRUE,5,8444.471862054208,228,Reliable
1992,3229.7558176612174,1990-1994,TRUE,5,16148.779088306086,436,Reliable
1995,2740.723124580935,1995,FALSE,1,2740.723124580935,74,Reliable
1996,4444.6018813518685,1996,FALSE,1,4444.6018813518685,120,Reliable
1997,4925.794401151823,1997,FALSE,1,4925.794401151823,133,Reliable
1998,4740.8082111500835,1998,FALSE,1,4740.8082111500835,128,Reliable
1999,4740.806578451625,1999,FALSE,1,4740.806578451625,128,Reliable
2000,3925.9958458683004,2000,FALSE,1,3925.9958458683004,106,Reliable
2001,3814.6760840792804,2001,FALSE,1,3814.6760840792804,103,Reliable
2002,5259.1393533376395,2002,FALSE,1,5259.1393533376395,142,Reliable
2003,4444.600195020773,2003,FALSE,1,4444.600195020773,120,Reliable
2004,5037.146059934856,2004,FALSE,1,5037.146059934856,136,Reliable
2005,4703.47260063547,2005,FALSE,1,4703.47260063547,127,Reliable
2006,5333.190476578042,2006,FALSE,1,5333.190476578042,144,Reliable
2007,4629.728833041004,2007,FALSE,1,4629.728833041004,125,Reliable
2008,5073.931593701852,2008,FALSE,1,5073.931593701852,137,Reliable
2009,4037.197172867527,2009,FALSE,1,4037.197172867527,109,Reliable
2010,4777.6874918164885,2010,FALSE,1,4777.6874918164885,129,Reliable
2011,5148.237793665366,2011,FALSE,1,5148.237793665366,139,Reliable
2012,5444.272123753786,2012,FALSE,1,5444.272123753786,147,Reliable
2013,8666.771908633275,2013,FALSE,1,8666.771908633275,234,Reliable
2014,13112.12016801532,2014,FALSE,1,13112.12016801532,354,Reliable
2015,9926.311168774528,2015,FALSE,1,9926.311168774528,268,Reliable
2016,4926.255393051796,2016,FALSE,1,4926.255393051796,133,Reliable
2017,3740.769944912878,2017,FALSE,1,3740.769944912878,101,Reliable
2018,4629.646795102741,2018,FALSE,1,4629.646795102741,125,Reliable
2019,4481.486739258965,2019,FALSE,1,4481.486739258965,121,Reliable
2020,5222.526307019312,2020,FALSE,1,5222.526307019312,141,Reliable
