"sector_code","sector_name","count","total_employed","pct"
"Q","Sundhed og socialvæsen",3035,9814,30.9
"C","Industri",1230,9814,12.5
"G","Handel",927,9814,9.4
"H","Transport",862,9814,8.8
"P","Undervisning",748,9814,7.6
"M","Videnservice",611,9814,6.2
"N","Rejsebureauer, rengøring og anden operationel service",575,9814,5.9
"I","Hoteller og restauranter",429,9814,4.4
"J","Information og kommunikation",369,9814,3.8
"O","Offentlig administration, forsvar og politi",285,9814,2.9
"F","Bygge og anlæg",233,9814,2.4
"K","Finansiering og forsikring",155,9814,1.6
"S","Andre serviceydelser mv.",119,9814,1.2
"D","Energiforsyning",82,9814,0.8
"R","Kultur og fritid",54,9814,0.6
"L","Ejendomshandel og udlejning",50,9814,0.5
"E","Vandforsyning og renovation",28,9814,0.3
"B","Råstofindvinding",13,9814,0.1
"A","Landbrug, skovbrug og fiskeri",9,9814,0.1
