"age_group","sex","count"
"0-4","Female",452
"0-4","Male",496
"5-9","Female",684
"5-9","Male",744
"10-14","Female",640
"10-14","Male",722
"15-19","Female",626
"15-19","Male",678
"20-24","Female",592
"20-24","Male",650
"25-29","Female",755
"25-29","Male",753
"30-34","Female",1182
"30-34","Male",1182
"35-39","Female",1639
"35-39","Male",1731
"40-44","Female",1856
"40-44","Male",1939
"45-49","Female",1318
"45-49","Male",1235
"50-54","Female",837
"50-54","Male",826
"55-59","Female",828
"55-59","Male",866
"60-64","Female",786
"60-64","Male",1423
"65-69","Female",568
"65-69","Male",1367
"70-74","Female",310
"70-74","Male",472
"75-79","Female",137
"75-79","Male",195
"80-84","Female",107
"80-84","Male",104
"85-89","Female",52
"85-89","Male",43
"90-94","Female",23
"90-94","Male",22
"95+","Female",9
"95+","Male",6
