"year","gen1_female","gen2_female","gen1_male","gen2_male"
1980,65,4,159,13
1981,78,4,181,14
1982,78,6,179,17
1983,79,7,195,18
1984,94,10,232,20
1985,180,14,765,25
1986,999,30,3799,44
1987,1394,68,4369,82
1988,1770,113,4885,134
1989,2132,151,5466,189
1990,2395,193,5761,242
1991,2688,242,6015,302
1992,3049,323,6302,359
1993,3287,387,6418,433
1994,3434,474,6493,507
1995,3546,540,6490,581
1996,3620,594,6470,674
1997,3828,672,6625,749
1998,3998,743,6688,835
1999,4204,824,6765,919
2000,4323,874,6789,994
2001,4516,985,6832,1058
2002,4625,1050,6800,1150
2003,4739,1109,6895,1202
2004,4792,1184,6938,1299
2005,4799,1242,6888,1360
2006,4834,1299,6855,1401
2007,4901,1339,6860,1451
2008,4932,1392,6921,1519
2009,4946,1443,6958,1549
2010,5041,1498,7057,1613
2011,5170,1552,7307,1657
2012,5349,1595,7534,1732
2013,5522,1646,7784,1804
2014,5867,1713,8216,1862
2015,6244,1786,8613,1929
2016,6555,1846,8995,1986
2017,6730,1927,9240,2088
2018,7085,2032,9696,2200
2019,7251,2088,9824,2269
2020,7322,2161,9873,2345
2021,7571,2234,10000,2424
2022,7845,2318,10199,2533
2023,8445,2382,10682,2609
2024,9420,2443,11461,2669
2025,10505,2504,12432,2734
2026,10825,2576,12652,2802
