"year","gen1","gen2","total"
1980,224,17,241
1981,259,18,277
1982,257,23,280
1983,274,25,299
1984,326,30,356
1985,945,39,984
1986,4798,74,4872
1987,5763,150,5913
1988,6655,247,6902
1989,7598,340,7938
1990,8156,435,8591
1991,8703,544,9247
1992,9351,682,10033
1993,9705,820,10525
1994,9927,981,10908
1995,10036,1121,11157
1996,10090,1268,11358
1997,10453,1421,11874
1998,10686,1578,12264
1999,10969,1743,12712
2000,11112,1868,12980
2001,11348,2043,13391
2002,11425,2200,13625
2003,11634,2311,13945
2004,11730,2483,14213
2005,11687,2602,14289
2006,11689,2700,14389
2007,11761,2790,14551
2008,11853,2911,14764
2009,11904,2992,14896
2010,12098,3111,15209
2011,12477,3209,15686
2012,12883,3327,16210
2013,13306,3450,16756
2014,14083,3575,17658
2015,14857,3715,18572
2016,15550,3832,19382
2017,15970,4015,19985
2018,16781,4232,21013
2019,17075,4357,21432
2020,17195,4506,21701
2021,17571,4658,22229
2022,18044,4851,22895
2023,19127,4991,24118
2024,20881,5112,25993
2025,22937,5238,28175
2026,23477,5378,28855
