"code","name","count","geo_code"
"MK01","Uusimaa",7001,"01"
"MK02","Southwest Finland",1818,"02"
"MK06","Pirkanmaa",1310,"06"
"MK13","Central Finland",548,"13"
"MK17","North Ostrobothnia",514,"17"
"MK15","Ostrobothnia",478,"15"
"MK07","Päijät-Häme",374,"07"
"MK09","South Karelia",357,"09"
"MK05","Kanta-Häme",267,"05"
"MK11","North Savo",209,"11"
"MK10","South Savo",143,"10"
"MK12","North Karelia",97,"12"
"MK04","Satakunta",96,"04"
"MK21","Åland",96,"21"
"MK19","Lapland",86,"19"
"MK08","Kymenlaakso",82,"08"
"MK14","South Ostrobothnia",82,"14"
"MK18","Kainuu",45,"18"
"MK16","Central Ostrobothnia",30,"16"
