"year","gen1","gen2","total"
1990,496,20,516
1991,664,35,699
1992,916,45,961
1993,1012,64,1076
1994,1194,76,1270
1995,1318,104,1422
1996,1457,126,1583
1997,1760,152,1912
1998,1943,184,2127
1999,2259,214,2473
2000,2399,251,2650
2001,2632,273,2905
2002,2855,310,3165
2003,3101,350,3451
2004,3318,394,3712
2005,3516,432,3948
2006,3720,508,4228
2007,3884,581,4465
2008,4093,628,4721
2009,4207,702,4909
2010,4392,772,5164
2011,4650,824,5474
2012,4956,872,5828
2013,5315,934,6249
2014,5688,1002,6690
2015,5902,1088,6990
2016,6533,1165,7698
2017,6848,1266,8114
2018,7063,1364,8427
2019,7479,1466,8945
2020,7864,1554,9418
2021,8465,1664,10129
2022,9402,1776,11178
2023,10547,1892,12439
2024,11668,2051,13719
2025,12970,2194,15164
