"section","category","gen","value_k","suppressed","low_rel"
"status","Bevölkerung insgesamt","all_gens",334,FALSE,FALSE
"status","Bevölkerung insgesamt","first_gen",267,FALSE,FALSE
"status","Erwerbspersonen zusammen","all_gens",194,FALSE,FALSE
"status","Erwerbspersonen zusammen","first_gen",168,FALSE,FALSE
"status","Erwerbstätige","all_gens",175,FALSE,FALSE
"status","Erwerbstätige","first_gen",150,FALSE,FALSE
"status","Erwerbslose","all_gens",19,FALSE,FALSE
"status","Erwerbslose","first_gen",18,FALSE,FALSE
"status","Nichterwerbspersonen","all_gens",140,FALSE,FALSE
"status","Nichterwerbspersonen","first_gen",99,FALSE,FALSE
"stellung","Erwerbstätige nach Stellung im Beruf Selbstständige","all_gens",19,FALSE,FALSE
"stellung","Erwerbstätige nach Stellung im Beruf Selbstständige","first_gen",16,FALSE,FALSE
"stellung","mithelfende Familienangehörige","all_gens",NA,TRUE,FALSE
"stellung","mithelfende Familienangehörige","first_gen",NA,TRUE,FALSE
"stellung","Beamte/-innen","all_gens",NA,TRUE,FALSE
"stellung","Beamte/-innen","first_gen",NA,TRUE,FALSE
"stellung","Angestellte, Arbeiter/-innen","all_gens",146,FALSE,FALSE
"stellung","Angestellte, Arbeiter/-innen","first_gen",126,FALSE,FALSE
"stellung","Auszubildende","all_gens",NA,TRUE,FALSE
"stellung","Auszubildende","first_gen",NA,TRUE,FALSE
"industry","Land- und Forstwirtschaft, Fischerei","all_gens",NA,TRUE,FALSE
"industry","Land- und Forstwirtschaft, Fischerei","first_gen",NA,TRUE,FALSE
"industry","Produzierendes Gewerbe, Baugewerbe","all_gens",29,FALSE,FALSE
"industry","Produzierendes Gewerbe, Baugewerbe","first_gen",26,FALSE,FALSE
"industry","Handel, Gastgewerbe und Verkehr","all_gens",60,FALSE,FALSE
"industry","Handel, Gastgewerbe und Verkehr","first_gen",54,FALSE,FALSE
"industry","Öffentliche Verwaltung","all_gens",NA,TRUE,FALSE
"industry","Öffentliche Verwaltung","first_gen",NA,TRUE,FALSE
"industry","Sonstige Dienstleistungen","all_gens",80,FALSE,FALSE
"industry","Sonstige Dienstleistungen","first_gen",66,FALSE,FALSE
"income","Erwerbstätige mit Angabe zum Nettoeinkommmen von ... bis unter ... Euro unter 500","all_gens",NA,TRUE,FALSE
"income","Erwerbstätige mit Angabe zum Nettoeinkommmen von ... bis unter ... Euro unter 500","first_gen",NA,TRUE,FALSE
"income","500 - 1 000","all_gens",21,FALSE,FALSE
"income","500 - 1 000","first_gen",18,FALSE,FALSE
"income","1 000 - 1 500","all_gens",27,FALSE,FALSE
"income","1 000 - 1 500","first_gen",23,FALSE,FALSE
"income","1 500 - 2 000","all_gens",26,FALSE,FALSE
"income","1 500 - 2 000","first_gen",23,FALSE,FALSE
"income","2 000 - 2 500","all_gens",29,FALSE,FALSE
"income","2 000 - 2 500","first_gen",26,FALSE,FALSE
"income","2 500 - 3 000","all_gens",20,FALSE,FALSE
"income","2 500 - 3 000","first_gen",18,FALSE,FALSE
"income","3 000 - 3 500","all_gens",14,FALSE,FALSE
"income","3 000 - 3 500","first_gen",12,FALSE,FALSE
"income","3 500 und mehr","all_gens",31,FALSE,FALSE
"income","3 500 und mehr","first_gen",25,FALSE,FALSE
"income","Kein Einkommen","all_gens",NA,TRUE,FALSE
"income","Kein Einkommen","first_gen",NA,TRUE,FALSE
