"motive","value_k","suppressed","low_rel"
"Hauptmotiv für die Zuwanderung Insgesamt",250,FALSE,FALSE
"Arbeit/Beschäftigung zusammen",22,FALSE,FALSE
"Stellenzusage vor Einreise",18,FALSE,FALSE
"keine Stellenzusage vor Einreise",NA,TRUE,FALSE
"Studium, Ausbildung, Weiterbildung",43,FALSE,FALSE
"Familienzusammenführung",41,FALSE,FALSE
"Familiengründung",14,FALSE,FALSE
"Flucht, Asyl, internationaler Schutz",109,FALSE,FALSE
"EU-Freizügigkeit: Wunsch nach Niederlassung in Deutschland",NA,TRUE,FALSE
"sonstige Gründe",18,FALSE,FALSE
