"sex","gen","age_bin","value_k","suppressed","low_rel"
"female","all_gens","all",144,FALSE,FALSE
"female","first_gen","all",112,FALSE,FALSE
"female","all_gens","0-4",NA,TRUE,FALSE
"female","first_gen","0-4",NA,TRUE,FALSE
"female","all_gens","5-9",7,FALSE,TRUE
"female","first_gen","5-9",NA,TRUE,FALSE
"female","all_gens","10-14",NA,TRUE,FALSE
"female","first_gen","10-14",NA,TRUE,FALSE
"female","all_gens","15-19",NA,TRUE,FALSE
"female","first_gen","15-19",NA,TRUE,FALSE
"female","all_gens","20-24",10,FALSE,TRUE
"female","first_gen","20-24",NA,TRUE,FALSE
"female","all_gens","25-29",13,FALSE,FALSE
"female","first_gen","25-29",10,FALSE,TRUE
"female","all_gens","30-34",17,FALSE,FALSE
"female","first_gen","30-34",14,FALSE,FALSE
"female","all_gens","35-39",17,FALSE,FALSE
"female","first_gen","35-39",15,FALSE,FALSE
"female","all_gens","40-44",14,FALSE,FALSE
"female","first_gen","40-44",13,FALSE,FALSE
"female","all_gens","45-49",11,FALSE,TRUE
"female","first_gen","45-49",10,FALSE,TRUE
"female","all_gens","50-54",7,FALSE,TRUE
"female","first_gen","50-54",NA,TRUE,FALSE
"female","all_gens","55-59",6,FALSE,TRUE
"female","first_gen","55-59",NA,TRUE,FALSE
"female","all_gens","60-64",9,FALSE,TRUE
"female","first_gen","60-64",8,FALSE,TRUE
"female","all_gens","65-69",7,FALSE,TRUE
"female","first_gen","65-69",7,FALSE,TRUE
"female","all_gens","70-74",NA,TRUE,FALSE
"female","first_gen","70-74",NA,TRUE,FALSE
"female","all_gens","75-79",NA,TRUE,FALSE
"female","first_gen","75-79",NA,TRUE,FALSE
"female","all_gens","80-84",NA,TRUE,FALSE
"female","first_gen","80-84",NA,TRUE,FALSE
"female","all_gens","85-89",NA,TRUE,FALSE
"female","first_gen","85-89",NA,TRUE,FALSE
"female","all_gens","90-94",NA,TRUE,FALSE
"female","first_gen","90-94",NA,TRUE,FALSE
"female","all_gens","95+",NA,TRUE,FALSE
"female","first_gen","95+",NA,TRUE,FALSE
"male","all_gens","all",175,FALSE,FALSE
"male","first_gen","all",138,FALSE,FALSE
"male","all_gens","0-4",7,FALSE,TRUE
"male","first_gen","0-4",NA,TRUE,FALSE
"male","all_gens","5-9",9,FALSE,TRUE
"male","first_gen","5-9",NA,TRUE,FALSE
"male","all_gens","10-14",8,FALSE,TRUE
"male","first_gen","10-14",NA,TRUE,FALSE
"male","all_gens","15-19",8,FALSE,TRUE
"male","first_gen","15-19",NA,TRUE,FALSE
"male","all_gens","20-24",11,FALSE,TRUE
"male","first_gen","20-24",NA,TRUE,FALSE
"male","all_gens","25-29",15,FALSE,FALSE
"male","first_gen","25-29",11,FALSE,TRUE
"male","all_gens","30-34",20,FALSE,FALSE
"male","first_gen","30-34",18,FALSE,FALSE
"male","all_gens","35-39",23,FALSE,FALSE
"male","first_gen","35-39",21,FALSE,FALSE
"male","all_gens","40-44",16,FALSE,FALSE
"male","first_gen","40-44",15,FALSE,FALSE
"male","all_gens","45-49",10,FALSE,TRUE
"male","first_gen","45-49",10,FALSE,TRUE
"male","all_gens","50-54",9,FALSE,TRUE
"male","first_gen","50-54",8,FALSE,TRUE
"male","all_gens","55-59",8,FALSE,TRUE
"male","first_gen","55-59",7,FALSE,TRUE
"male","all_gens","60-64",11,FALSE,FALSE
"male","first_gen","60-64",10,FALSE,FALSE
"male","all_gens","65-69",9,FALSE,TRUE
"male","first_gen","65-69",9,FALSE,TRUE
"male","all_gens","70-74",NA,TRUE,FALSE
"male","first_gen","70-74",NA,TRUE,FALSE
"male","all_gens","75-79",NA,TRUE,FALSE
"male","first_gen","75-79",NA,TRUE,FALSE
"male","all_gens","80-84",NA,TRUE,FALSE
"male","first_gen","80-84",NA,TRUE,FALSE
"male","all_gens","85-89",NA,TRUE,FALSE
"male","first_gen","85-89",NA,TRUE,FALSE
"male","all_gens","90-94",NA,TRUE,FALSE
"male","first_gen","90-94",NA,TRUE,FALSE
"male","all_gens","95+",NA,TRUE,FALSE
"male","first_gen","95+",NA,TRUE,FALSE
