"school_level","gen","value_k","suppressed","low_rel"
"Insgesamt","all_gens",334,FALSE,FALSE
"Insgesamt","first_gen",267,FALSE,FALSE
"Noch in Ausbildung/ noch nicht schulpflichtig","all_gens",60,FALSE,FALSE
"Noch in Ausbildung/ noch nicht schulpflichtig","first_gen",26,FALSE,FALSE
"Ohne Schulabschluss","all_gens",28,FALSE,FALSE
"Ohne Schulabschluss","first_gen",27,FALSE,FALSE
"Mit Schulabschluss","all_gens",247,FALSE,FALSE
"Mit Schulabschluss","first_gen",215,FALSE,FALSE
"Darunter: Hauptschule","all_gens",23,FALSE,FALSE
"Darunter: Hauptschule","first_gen",22,FALSE,FALSE
"Polytechnische Oberschule","all_gens",NA,TRUE,FALSE
"Polytechnische Oberschule","first_gen",NA,TRUE,FALSE
"Realschule o. ä.","all_gens",28,FALSE,FALSE
"Realschule o. ä.","first_gen",23,FALSE,FALSE
"Fachhochschulreife","all_gens",30,FALSE,FALSE
"Fachhochschulreife","first_gen",26,FALSE,FALSE
"Abitur","all_gens",165,FALSE,FALSE
"Abitur","first_gen",144,FALSE,FALSE
