"generation","age_group","count"
"Iran-born","75+",14900
"Iran-born","65-74",11400
"Iran-born","55-64",6900
"Iran-born","45-54",2600
"Iran-born","35-44",1800
"Iran-born","25-34",500
"Iran-born","15-24",200
"Iran-born","0-14",0
"Israeli-born","55+",30400
"Israeli-born","50-54",10400
"Israeli-born","45-49",10300
"Israeli-born","40-44",9000
"Israeli-born","35-39",8200
"Israeli-born","30-34",7200
"Israeli-born","25-29",5700
"Israeli-born","20-24",4300
"Israeli-born","15-19",3000
"Israeli-born","10-14",2300
"Israeli-born","5-9",1700
"Israeli-born","0-4",1100
