"arrival_year","count"
1965,69
1966,20
1967,20
1968,23
1969,16
1970,22
1971,19
1972,19
1973,21
1974,29
1975,24
1976,38
1977,30
1978,25
1979,30
1980,60
1981,57
1982,29
1983,27
1984,61
1985,210
1986,349
1987,371
1988,330
1989,475
1990,508
1991,634
1992,901
1993,999
1994,1089
1995,1327
1996,1520
1997,1722
1998,1031
1999,746
2000,642
2001,920
2002,961
2003,719
2004,479
2005,389
2006,413
2007,479
2008,649
2009,646
2010,680
2011,869
2012,1097
2013,999
2014,1158
2015,835
2016,897
2017,1900
2018,1441
2019,1682
2020,3026
2021,1711
2022,2372
2023,3161
2024,3635
2025,3832
