"age_group","sex","count"
"0-4","Female",1728
"0-4","Male",1787
"5-9","Female",1748
"5-9","Male",1819
"10-14","Female",1447
"10-14","Male",1560
"15-19","Female",1406
"15-19","Male",1426
"20-24","Female",1574
"20-24","Male",1768
"25-29","Female",2230
"25-29","Male",2122
"30-34","Female",3084
"30-34","Male",3397
"35-39","Female",3851
"35-39","Male",4257
"40-44","Female",3793
"40-44","Male",3752
"45-49","Female",2023
"45-49","Male",2018
"50-54","Female",1576
"50-54","Male",1676
"55-59","Female",1711
"55-59","Male",2427
"60-64","Female",1630
"60-64","Male",2089
"65-69","Female",1123
"65-69","Male",1342
"70-74","Female",561
"70-74","Male",755
"75-79","Female",320
"75-79","Male",336
"80-84","Female",174
"80-84","Male",184
"85-89","Female",78
"85-89","Male",81
"90-94","Female",27
"90-94","Male",31
"95-99","Female",9
"95-99","Male",3
