"year","employed_total","pct_total","employed_female","pct_female","employed_male","pct_male"
2001,4117,53.3,1503,47.8,2614,57
2002,4383,51.9,1612,45.5,2771,56.5
2003,4644,51.1,1767,45.9,2877,54.9
2004,4956,51.9,1926,46.9,3030,55.7
2005,5211,52.5,2046,47.4,3165,56.4
2006,5906,57.4,2349,52.3,3557,61.3
2007,6520,61.1,2652,56.6,3868,64.5
2008,6950,62.2,2869,58.5,4081,65
2009,6904,59.2,2885,56.1,4019,61.6
2010,7098,58.1,2979,54.9,4119,60.7
2011,7328,56.8,3076,53,4252,59.9
2012,7781,57.5,3282,53.5,4499,60.8
2013,8253,58.3,3512,54.3,4741,61.6
2014,8630,59.5,3698,55.8,4932,62.7
2015,8156,56.8,3554,53.7,4602,59.5
2016,8421,57.1,3685,53.8,4736,59.9
2017,8784,57.5,3905,55.2,4879,59.4
2018,9218,58.9,4100,56.3,5118,61.1
2019,9641,60.1,4292,57.3,5349,62.6
2020,9647,59,4294,56,5353,61.6
2021,10470,62.3,4718,59.4,5752,64.9
2022,11083,63.7,5082,61.4,6001,65.8
2023,11439,65,5286,62.8,6153,67
2024,11526,65,5368,62.9,6158,67
2025,11382,64.2,5315,61.8,6067,66.6
