"year","female","male","total"
1970,13,27,40
1980,55,72,127
1986,127,292,419
1987,229,521,750
1988,836,1867,2703
1989,1382,2953,4335
1990,1744,3434,5178
1991,1985,3793,5778
1992,2219,4157,6376
1993,2375,4316,6691
1994,2508,4421,6929
1995,2615,4484,7099
1996,2719,4486,7205
1997,2855,4539,7394
1998,3105,4783,7888
1999,3471,5104,8575
2000,3783,5368,9151
2001,4053,5592,9645
2002,4418,5969,10387
2003,4773,6285,11058
2004,5055,6579,11634
2005,5238,6717,11955
2006,5357,6791,12148
2007,5457,6851,12308
2008,5629,6997,12626
2009,5791,7210,13001
2010,6047,7461,13508
2011,6316,7691,14007
2012,6717,8078,14795
2013,7116,8441,15557
2014,7515,8779,16294
2015,7684,8924,16608
2016,7672,8790,16462
2017,8026,9143,17169
2018,8268,9460,17728
2019,8460,9615,18075
2020,8687,9800,18487
2021,8841,9907,18748
2022,9128,10169,19297
2023,9479,10496,19975
2024,9697,10636,20333
2025,9857,10663,20520
2026,9962,10688,20650
