"age_code","age_label","age_mid","male","female"
"Y_LT5","Under 5",2.5,629,585
"Y5-9","5-9",7,2845,2667
"Y10-14","10-14",12,3749,3619
"Y15-19","15-19",17,4380,4357
"Y20-24","20-24",22,6466,8433
"Y25-29","25-29",27,5014,6598
"Y30-34","30-34",32,5907,7572
"Y35-39","35-39",37,7678,9488
"Y40-44","40-44",42,7813,9982
"Y45-49","45-49",47,5263,5905
"Y50-54","50-54",52,3999,3702
"Y55-59","55-59",57,3288,2929
"Y60-64","60-64",62,2415,2020
"Y65-69","65-69",67,1637,1311
"Y70-74","70-74",72,1063,850
"Y75-79","75-79",77,654,552
"Y80-84","80-84",82,290,282
"Y_GE85","85+",90,212,248
