"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_COB_58","C2021_COB_58_NAME","C2021_COB_58_CODE","C2021_COB_58_TYPE","C2021_COB_58_TYPECODE","C2021_COB_58_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"650117121","Darlington","E06000005","2022 local authorities: counties",155,0,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",120,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117121d31d20100",0,174
"2021","2021","2021","date",0,0,"650117122","County Durham","E06000047","2022 local authorities: counties",155,1,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",339,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117122d31d20100",1,174
"2021","2021","2021","date",0,0,"650117123","Hartlepool","E06000001","2022 local authorities: counties",155,2,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",75,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117123d31d20100",2,174
"2021","2021","2021","date",0,0,"650117124","Middlesbrough","E06000002","2022 local authorities: counties",155,3,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",392,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117124d31d20100",3,174
"2021","2021","2021","date",0,0,"650117125","Northumberland","E06000057","2022 local authorities: counties",155,4,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",147,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117125d31d20100",4,174
"2021","2021","2021","date",0,0,"650117126","Redcar and Cleveland","E06000003","2022 local authorities: counties",155,5,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",39,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117126d31d20100",5,174
"2021","2021","2021","date",0,0,"650117127","Stockton-on-Tees","E06000004","2022 local authorities: counties",155,6,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",321,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117127d31d20100",6,174
"2021","2021","2021","date",0,0,"650117128","Gateshead","E08000037","2022 local authorities: counties",155,7,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",598,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117128d31d20100",7,174
"2021","2021","2021","date",0,0,"650117129","Newcastle upon Tyne","E08000021","2022 local authorities: counties",155,8,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",1806,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117129d31d20100",8,174
"2021","2021","2021","date",0,0,"650117130","North Tyneside","E08000022","2022 local authorities: counties",155,9,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",307,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117130d31d20100",9,174
"2021","2021","2021","date",0,0,"650117131","South Tyneside","E08000023","2022 local authorities: counties",155,10,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",193,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117131d31d20100",10,174
"2021","2021","2021","date",0,0,"650117132","Sunderland","E08000024","2022 local authorities: counties",155,11,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",322,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117132d31d20100",11,174
"2021","2021","2021","date",0,0,"650117133","Blackburn with Darwen","E06000008","2022 local authorities: counties",155,12,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",172,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117133d31d20100",12,174
"2021","2021","2021","date",0,0,"650117134","Blackpool","E06000009","2022 local authorities: counties",155,13,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",81,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117134d31d20100",13,174
