"period","count","mid_year","label","cum_count","cum_pct"
"Arrived before 1951",287,1945,"before 1951",287,0.3
"Arrived 1951 to 1960",511,1955,"1951 to 1960",798,0.7
"Arrived 1961 to 1970",1662,1965,"1961 to 1970",2460,2.3
"Arrived 1971 to 1980",11538,1975,"1971 to 1980",13998,12.8
"Arrived 1981 to 1990",7609,1985,"1981 to 1990",21607,19.8
"Arrived 1991 to 2000",14559,1995,"1991 to 2000",36166,33.1
"Arrived 2001 to 2010",28526,2005,"2001 to 2010",64692,59.3
"Arrived 2011 to 2013",9510,2012,"2011 to 2013",74202,68
"Arrived 2014 to 2016",11850,2015,"2014 to 2016",86052,78.8
"Arrived 2017 to 2019",17137,2018,"2017 to 2019",103189,94.5
"Arrived 2020 to 2021",5979,2020,"2020 to 2021",109168,100
