YRIMMIG,n,cumulative_immigrants
1938,143,143
1939,160,303
1945,39,342
1946,79,421
1947,231,652
1948,432,1084
1949,265,1349
1950,320,1669
1951,476,2145
1952,572,2717
1953,255,2972
1954,471,3443
1955,595,4038
1956,616,4654
1957,659,5313
1958,847,6160
1959,1067,7227
1960,1231,8458
1961,865,9323
1962,913,10236
1963,1109,11345
1964,1448,12793
1965,1534,14327
1966,1575,15902
1967,1220,17122
1968,1727,18849
1969,2314,21163
1970,2733,23896
1971,2098,25994
1972,2384,28378
1973,3049,31427
1974,4364,35791
1975,5265,41056
1976,9445,50501
1977,9940,60441
1978,15676,76117
1979,17133,93250
1980,7326,100576
1981,3951,104527
1982,4864,109391
1983,5487,114878
1984,7713,122591
1985,9589,132180
1986,7762,139942
1987,7968,147910
1988,7628,155538
1989,7278,162816
1990,6169,168985
1991,5273,174258
1992,4109,178367
1993,4447,182814
1994,4959,187773
1995,6062,193835
1996,5485,199320
1997,5370,204690
1998,7011,211701
1999,7968,219669
2000,13107,232776
2001,10555,243331
2002,5614,248945
2003,5278,254223
2004,5082,259305
2005,6504,265809
2006,6379,272188
2007,8388,280576
2008,9734,290310
2009,9348,299658
2010,11268,310926
2011,10065,320991
2012,11719,332710
2013,10239,342949
2014,11894,354843
2015,14833,369676
2016,14740,384416
2017,9623,394039
2018,4901,398940
2019,7071,406011
2020,4148,410159
2021,4785,414944
2022,7059,422003
2023,3527,425530
2024,1030,426560
