gender,gen,age_group,class_wkrd,n
Male,1st gen,25-34,N/A,1217
Male,1st gen,25-34,Non-profit employee,1461
Male,1st gen,25-34,Private sector employee,12344
Male,1st gen,25-34,Public sector employee,3549
Male,1st gen,25-34,Self-employed,2476
Male,1st gen,25-34,Unpaid family member,48
Male,1st gen,35-44,N/A,1232
Male,1st gen,35-44,Non-profit employee,2731
Male,1st gen,35-44,Private sector employee,24992
Male,1st gen,35-44,Public sector employee,4548
Male,1st gen,35-44,Self-employed,6602
Male,1st gen,35-44,Unpaid family member,12
Male,1st gen,45-54,N/A,1692
Male,1st gen,45-54,Non-profit employee,1659
Male,1st gen,45-54,Private sector employee,18992
Male,1st gen,45-54,Public sector employee,3462
Male,1st gen,45-54,Self-employed,8431
Male,1st gen,45-54,Unpaid family member,170
Male,1st gen,55-64,N/A,5293
Male,1st gen,55-64,Non-profit employee,1975
Male,1st gen,55-64,Private sector employee,23321
Male,1st gen,55-64,Public sector employee,3551
Male,1st gen,55-64,Self-employed,12102
Male,1st gen,55-64,Unpaid family member,136
Male,1st gen,65-74,N/A,13489
Male,1st gen,65-74,Non-profit employee,1244
Male,1st gen,65-74,Private sector employee,13625
Male,1st gen,65-74,Public sector employee,3641
Male,1st gen,65-74,Self-employed,9525
Male,1st gen,65-74,Unpaid family member,235
Male,1st gen,75-84,N/A,11556
Male,1st gen,75-84,Non-profit employee,332
Male,1st gen,75-84,Private sector employee,2612
Male,1st gen,75-84,Public sector employee,910
Male,1st gen,75-84,Self-employed,1979
Male,1st gen,75-84,Unpaid family member,57
Male,2nd gen,25-34,N/A,1995
Male,2nd gen,25-34,Non-profit employee,2471
Male,2nd gen,25-34,Private sector employee,19344
Male,2nd gen,25-34,Public sector employee,2887
Male,2nd gen,25-34,Self-employed,3229
Male,2nd gen,25-34,Unpaid family member,94
Male,2nd gen,35-44,N/A,1307
Male,2nd gen,35-44,Non-profit employee,1489
Male,2nd gen,35-44,Private sector employee,11254
Male,2nd gen,35-44,Public sector employee,2051
Male,2nd gen,35-44,Self-employed,3027
Male,2nd gen,35-44,Unpaid family member,56
