educ_factor,age_group,Male,Female,ratio
Less than high school,25-34,367,114,0.3106267029972752
Less than high school,35-44,293,197,0.6723549488054608
Less than high school,45-54,288,113,0.3923611111111111
Less than high school,55-64,62,10,0.16129032258064516
Less than high school,65-74,36,62,1.7222222222222223
Less than high school,75-84,48,70,1.4583333333333333
Some high school,25-34,456,322,0.706140350877193
Some high school,35-44,522,360,0.6896551724137931
Some high school,45-54,47,34,0.723404255319149
Some high school,55-64,46,81,1.7608695652173914
Some high school,65-74,29,13,0.4482758620689655
Some high school,75-84,0,86,Inf
High school degree,25-34,2386,1673,0.7011735121542331
High school degree,35-44,1953,824,0.42191500256016384
High school degree,45-54,745,374,0.5020134228187919
High school degree,55-64,433,357,0.8244803695150116
High school degree,65-74,128,129,1.0078125
High school degree,75-84,42,100,2.380952380952381
Some college,25-34,5373,4324,0.8047645635585334
Some college,35-44,3829,3344,0.8733350744319666
Some college,45-54,1155,1017,0.8805194805194805
Some college,55-64,624,673,1.078525641025641
Some college,65-74,446,378,0.8475336322869955
Some college,75-84,62,173,2.7903225806451615
Bachelors degree,25-34,13930,12865,0.9235463029432879
Bachelors degree,35-44,5956,6415,1.0770651443922095
Bachelors degree,45-54,1542,2395,1.553177691309987
Bachelors degree,55-64,1396,1416,1.0143266475644699
Bachelors degree,65-74,675,539,0.7985185185185185
Bachelors degree,75-84,208,157,0.7548076923076923
Graduate degree,25-34,7508,8804,1.1726158763985082
Graduate degree,35-44,6631,8403,1.267229678781481
Graduate degree,45-54,3056,3226,1.0556282722513088
Graduate degree,55-64,1832,1836,1.002183406113537
Graduate degree,65-74,566,637,1.1254416961130742
Graduate degree,75-84,590,201,0.34067796610169493
