YEAR,SERIAL,HHWT,STATEFIP,HHINCOME,PERWT,SEX,AGE,BPL,ANCESTR1,ANCESTR2,CITIZEN,YRIMMIG,SCHL,EMPSTAT,CLASSWKR,OCC,WKHP,INCTOT,INCWAGE,POVERTY,REGION,PUMA,educ_factor,age,gender,bpl,gen,class_wkrd,emp_stat,CITIZEN2,born_in_iran,any_iranian_anc,generation,is_child_of_iranian
2024,2024HU0238374,8,2,88000,9,1,63,12,21,416,1,1937,16,1,1,4700,40,46000,46000,423,4,00200,High school degree,63,Male,12,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU1198256,28,2,61980,29,1,51,212,416,999,4,2014,16,1,1,0310,48,60990,60000,199,4,00102,High school degree,51,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2021,2021HU1198256,28,2,61980,22,2,40,212,416,999,4,2015,21,6,0,N,0,990,0,199,4,00102,Bachelors degree,40,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2021,2021HU1198256,28,2,61980,27,1,10,212,416,999,3,2015,7,0,0,N,0,-19999,-1,199,4,00102,Less than high school,10,Male,212,1st gen,N/A,N/A,US-born,TRUE,TRUE,First generation,FALSE
2021,2021HU1198256,28,2,61980,27,1,9,212,416,999,3,2015,5,0,0,N,0,-19999,-1,199,4,00102,Less than high school,9,Male,212,1st gen,N/A,N/A,US-born,TRUE,TRUE,First generation,FALSE
2021,2021HU1198256,28,2,61980,53,2,2,2,416,999,1,1937,0,0,0,N,0,-19999,-1,199,4,00102,No schooling or N/A,2,Female,2,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2022,2022HU0043119,37,2,218500,37,1,64,200,416,999,4,1974,22,1,1,0010,48,217000,98000,501,4,00200,Graduate degree,64,Male,200,2nd gen,Private sector employee,Employed,Naturalized citizen,FALSE,TRUE,Second+ generation,FALSE
2022,2022HU0043119,37,2,218500,36,2,19,6,999,999,1,1937,16,6,0,N,0,0,0,501,4,00200,High school degree,19,Female,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2022,2022HU0043119,37,2,218500,11,1,17,6,999,999,1,1937,16,6,0,N,0,0,0,501,4,00200,High school degree,17,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2021,2021HU0012540,4,2,31000,4,2,19,4,490,416,1,1937,18,1,1,4055,50,31000,31000,225,4,00300,Some college,19,Female,4,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0037973,38,2,225000,23,2,53,212,416,999,4,1995,21,1,3,3930,40,75000,75000,501,4,00101,Bachelors degree,53,Female,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2021,2021HU0037973,38,2,225000,39,1,15,209,416,999,3,2007,12,0,0,N,0,0,0,501,4,00101,Some high school,15,Male,209,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0225205,14,2,53700,12,1,66,2,416,999,1,1937,16,6,0,N,0,28100,0,226,4,00200,High school degree,66,Male,2,2nd gen,N/A,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0674816,18,2,87000,18,1,47,212,416,999,5,2016,24,1,4,2205,40,87000,87000,501,4,00300,Graduate degree,47,Male,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0106932,5,1,244000,10,1,27,212,999,999,4,2010,19,1,1,1021,40,106000,106000,501,3,01202,Some college,27,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2020,2020HU0198413,21,1,25000,21,2,30,212,416,999,4,2011,21,1,4,2545,25,25000,25000,186,3,01202,Bachelors degree,30,Female,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0205251,9,1,303800,9,2,33,212,416,999,4,2005,22,1,1,1410,50,146500,142000,501,3,00403,Graduate degree,33,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0205251,9,1,303800,13,1,33,212,416,999,4,2005,24,1,1,1410,40,143200,138000,501,3,00403,Graduate degree,33,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0205251,9,1,303800,20,2,65,212,416,999,4,2005,21,1,1,4760,20,14100,14000,501,3,00403,Bachelors degree,65,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0229136,26,1,18000,26,2,26,1,416,924,1,1937,23,1,1,3090,70,18000,18000,134,3,01502,Graduate degree,26,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0249471,19,1,50000,18,2,39,20,902,416,1,1937,21,1,4,5000,40,50000,50000,148,3,01600,Bachelors degree,39,Female,20,2nd gen,Public sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0249471,19,1,50000,8,2,15,1,902,416,1,1937,12,0,0,N,0,0,0,148,3,01600,Some high school,15,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0249471,19,1,50000,6,2,11,1,902,416,1,1937,8,0,0,N,0,-19999,-1,148,3,01600,Less than high school,11,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0249471,19,1,50000,7,2,9,1,902,416,1,1937,6,0,0,N,0,-19999,-1,148,3,01600,Less than high school,9,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0249471,19,1,50000,6,2,8,1,902,416,1,1937,5,0,0,N,0,-19999,-1,148,3,01600,Less than high school,8,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0249471,19,1,50000,1,2,1,1,902,416,1,1937,0,0,0,N,0,-19999,-1,148,3,01600,No schooling or N/A,1,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0435642,3,1,87200,3,2,41,1,22,416,1,1937,16,1,1,3602,38,53200,13200,285,3,00600,High school degree,41,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0435642,3,1,87200,6,1,19,1,999,999,1,1937,14,1,1,4110,20,6000,6000,285,3,00600,Some high school,19,Male,1,2nd gen,Private sector employee,Employed,US-born,FALSE,FALSE,Second+ generation,TRUE
2020,2020HU0435642,3,1,87200,8,1,15,1,999,999,1,1937,11,0,0,N,0,0,0,285,3,00600,Less than high school,15,Male,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2020,2020HU0524187,13,1,205000,14,1,36,212,416,999,5,2015,24,1,4,2205,40,160000,160000,501,3,01202,Graduate degree,36,Male,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0524187,13,1,205000,17,2,32,212,416,999,5,2015,22,1,4,0705,40,45000,45000,501,3,01202,Graduate degree,32,Female,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0524187,13,1,205000,11,2,0,1,416,999,1,1937,0,0,0,N,0,-19999,-1,501,3,01202,No schooling or N/A,0,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0767285,6,1,13000,5,2,22,13,939,416,1,1937,16,1,1,4055,25,6000,6000,75,3,00800,High school degree,22,Female,13,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2020,2020HU0875406,2,1,46000,2,2,30,212,416,999,5,2015,22,1,4,2205,20,21000,21000,267,3,01202,Graduate degree,30,Female,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU0875406,2,1,46000,9,1,30,212,416,999,5,2015,22,1,4,2205,12,25000,25000,267,3,01202,Graduate degree,30,Male,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2020,2020HU1097282,9,1,86700,17,2,65,54,32,22,1,1937,19,6,1,4522,0,6000,0,432,3,02801,Some college,65,Female,54,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2020,2020HU1097282,9,1,86700,13,1,29,1,32,416,1,1937,22,1,2,2006,60,65000,65000,432,3,02801,Graduate degree,29,Male,1,2nd gen,Non-profit employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0072350,14,1,145000,14,1,53,212,416,999,3,1973,21,1,1,3620,38,100000,100000,501,3,01202,Bachelors degree,53,Male,212,1st gen,Private sector employee,Employed,US-born,TRUE,TRUE,First generation,FALSE
2021,2021HU0072350,14,1,145000,20,1,3,1,924,999,1,1937,1,0,0,N,0,-19999,-1,501,3,01202,Less than high school,3,Male,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2021,2021HU0132407,45,1,24500,44,1,32,212,416,999,5,2019,22,1,4,1760,40,24500,24000,177,3,02201,Graduate degree,32,Male,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2021,2021HU0247528,14,1,20000,13,1,23,48,22,416,1,1937,21,1,1,2810,45,20000,20000,148,3,00403,Bachelors degree,23,Male,48,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0446808,10,1,470000,10,1,56,49,416,999,1,1937,23,1,7,3100,60,414000,414000,501,3,01802,Graduate degree,56,Male,49,2nd gen,Self-employed,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0446808,10,1,470000,9,2,15,1,416,50,1,1937,12,0,0,N,0,0,0,501,3,01802,Some high school,15,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0446808,10,1,470000,10,1,13,1,416,50,1,1937,9,0,0,N,0,-19999,-1,501,3,01802,Less than high school,13,Male,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0446808,10,1,470000,12,2,8,1,416,50,1,1937,5,0,0,N,0,-19999,-1,501,3,01802,Less than high school,8,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0471212,28,1,24000,28,1,30,212,416,999,5,2017,22,1,4,2545,63,24000,24000,178,3,02201,Graduate degree,30,Male,212,1st gen,Public sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2021,2021HU0550563,23,1,51300,23,1,77,212,924,416,4,1965,21,6,0,N,0,51300,0,412,3,01501,Bachelors degree,77,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2021,2021HU0562349,11,1,89000,16,2,25,1,416,999,1,1937,21,1,2,3603,36,24000,24000,177,3,01402,Bachelors degree,25,Female,1,2nd gen,Non-profit employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2021,2021HU0628244,36,1,205100,36,1,39,212,416,999,4,2007,24,1,1,1410,45,100100,100000,501,3,01801,Graduate degree,39,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2023,2023HU0844495,16,1,30000,16,1,45,212,490,999,4,2012,23,1,1,3090,80,30000,30000,192,3,01501,Graduate degree,45,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2023,2023HU0971890,30,1,10800,30,1,28,212,795,999,5,2022,22,6,0,N,0,10800,0,70,3,02101,Graduate degree,28,Male,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,FALSE,First generation,FALSE
2023,2023HU1112001,21,1,190000,15,2,45,28,416,999,1,1937,19,1,1,0540,60,65000,65000,501,3,02801,Some college,45,Female,28,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2023,2023HU1112001,21,1,190000,16,1,5,1,924,999,1,1937,3,0,0,N,0,-19999,-1,501,3,02801,Less than high school,5,Male,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2023,2023HU1167981,5,1,65000,7,2,64,212,416,999,4,1963,22,1,4,2012,12,37000,10000,365,3,01100,Graduate degree,64,Female,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2023,2023HU1398806,40,1,10000,40,2,22,1,416,924,1,1937,21,1,6,4600,25,10000,0,63,3,00402,Bachelors degree,22,Female,1,2nd gen,Self-employed,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2023,2023HU1400156,12,1,104050,12,1,79,212,416,999,4,1963,24,6,0,N,0,96050,0,501,3,01801,Graduate degree,79,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2023,2023HU1454598,6,1,145000,6,2,34,1,416,999,1,1937,24,1,1,3050,20,70000,70000,473,3,01404,Graduate degree,34,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2023,2023HU1454598,6,1,145000,8,2,4,1,416,195,1,1937,2,0,0,N,0,-19999,-1,473,3,01404,Less than high school,4,Female,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2023,2023HU1454598,6,1,145000,8,1,0,1,416,939,1,1937,0,0,0,N,0,-19999,-1,473,3,01404,No schooling or N/A,0,Male,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0027257,10,1,150600,10,2,20,1,51,416,1,1937,16,6,1,5400,10,5000,5000,501,3,02802,High school degree,20,Female,1,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0027257,10,1,150600,9,1,18,1,51,416,1,1937,14,6,0,N,0,20600,0,501,3,02802,Some high school,18,Male,1,2nd gen,N/A,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0096940,8,1,164800,9,2,58,212,416,999,4,1966,16,1,6,4510,25,25000,0,501,3,01404,High school degree,58,Female,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0096940,8,1,164800,27,1,68,212,416,999,4,1982,15,6,1,9365,0,8400,0,501,3,01404,Some high school,68,Male,212,1st gen,Private sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0096940,8,1,164800,9,2,28,1,416,999,1,1937,19,1,1,4710,40,60000,55000,501,3,01404,Some college,28,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0096940,8,1,164800,9,2,26,1,416,999,1,1937,21,1,1,4710,40,71400,70000,501,3,01404,Bachelors degree,26,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
