year,total,family,employment,diversity,refugee_asylee,other,source
1970,1825,1825,NA,0,NA,0,INS Annual Report FY1970
1971,2411,2411,NA,0,NA,0,INS Annual Report FY1971
1972,3059,3059,NA,0,NA,0,INS Annual Report FY1972
1973,2998,2998,NA,0,NA,0,INS Annual Report FY1973
1974,2608,2608,NA,0,NA,0,INS Annual Report FY1974
1975,2337,2337,NA,0,NA,0,INS Annual Report FY1975
1976,3731,3731,NA,0,NA,0,"INS Annual Report FY1976 (incl. transition quarter, Jul-Sep 1976)"
1977,4261,4261,NA,0,NA,0,INS Annual Report FY1977
1978,5861,5800,NA,0,0,61,INS Statistical Yearbook
1979,8476,8153,NA,0,0,323,INS Statistical Yearbook
1980,10410,10139,NA,0,99,172,INS Statistical Yearbook
1981,11105,10652,NA,0,364,89,INS Statistical Yearbook
1982,10314,9459,NA,0,701,154,INS Statistical Yearbook
1983,11163,9555,NA,0,1450,158,INS Statistical Yearbook
1984,13807,10118,NA,0,3544,145,INS Statistical Yearbook
1985,16071,10540,NA,0,5420,111,INS Statistical Yearbook
1986,16505,10455,NA,0,6022,28,INS Statistical Yearbook
1987,14426,8796,NA,0,5559,71,INS Statistical Yearbook
1988,15246,8232,NA,0,6895,119,INS Statistical Yearbook
1989,21243,8930,NA,0,8167,4146,INS Statistical Yearbook
1990,24977,9345,NA,0,8649,6983,INS Statistical Yearbook
1991,19569,8976,NA,0,8515,2078,INS Statistical Yearbook
1992,13233,6264,2434,0,3093,1442,INS Statistical Yearbook
1993,14841,6873,2876,14,3875,1203,INS Statistical Yearbook
1994,11422,6662,1728,5,2186,841,INS Statistical Yearbook
1995,9201,6193,1167,247,1245,349,INS Statistical Yearbook
1996,11084,7698,1477,369,1212,328,INS Yearbook Table 8
1997,9642,6690,979,314,1447,212,INS Yearbook Table 8
1998,7883,5930,797,332,754,70,INS Yearbook Table 8
1999,7203,5201,497,297,1030,178,INS Yearbook Table 8
2000,8519,6142,936,355,956,130,DHS Yearbook Table 8 XLS
2001,10497,7055,1654,333,1364,91,DHS Yearbook Table 8 XLS
2002,13029,5976,1514,695,4806,38,DHS Yearbook Table 8 XLS
2003,7251,4171,511,478,2030,61,DHS Yearbook Table 8 XLS
2004,10434,5337,745,349,3966,37,DHS Yearbook Table 8 XLS
2005,13887,5908,1024,407,6480,68,DHS Yearbook 2005 Table 10 XLS
2006,13947,6426,623,547,6316,35,DHS OHSS Expanded Tables
2007,10460,6517,720,639,2570,14,DHS OHSS Expanded Tables
2008,13852,7581,2017,762,3465,27,DHS OHSS Expanded Tables
2009,18553,6464,1198,1057,9804,30,DHS OHSS Expanded Tables
2010,14182,6873,1084,1469,4735,21,DHS OHSS Expanded Tables
2011,14822,6490,1151,1783,5386,12,DHS OHSS Expanded Tables
2012,12916,6260,953,2262,3430,11,DHS OHSS Expanded Tables
2013,12863,5326,1584,3447,2481,25,DHS OHSS Expanded Tables
2014,11615,4953,1215,2897,2521,29,DHS OHSS Expanded Tables
2015,13114,5482,1485,2377,3756,14,DHS OHSS Expanded Tables
2016,13298,5695,1600,2883,3111,9,DHS OHSS Expanded Tables
2017,13791,5494,2049,2583,3656,9,DHS OHSS Expanded Tables
2018,10116,2465,2566,628,4441,16,DHS OHSS Expanded Tables
2019,6640,1813,2512,190,2096,29,DHS OHSS Expanded Tables
2020,8805,4840,3170,221,561,13,DHS OHSS Expanded Tables
2021,5734,2787,2276,166,493,12,DHS OHSS Expanded Tables
2022,9407,4789,3070,983,555,10,DHS OHSS Expanded Tables
2023,11450,5890,3300,1610,630,20,DHS OHSS Expanded Tables
