"puma7","Ancestry only","Both","Born only","Other","total","csa","msa","county","neighborhood_note"
603719,745,3212,20888,5761,30606,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","West LA/Bel Air/Brentwood"
603725,2305,7456,1795,920,12476,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Beverly Hills/Century City/Pico-Robertson"
603724,2020,6555,2346,1384,12305,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","West LA/Cheviot Hills/Palms"
603708,674,3315,4946,2727,11662,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Encino/Tarzana"
603731,2260,4300,1297,1366,9223,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Porter Ranch/Granada Hills"
603776,1876,4826,1152,376,8230,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","North Hollywood/Valley Village"
603774,2131,3562,1069,1460,8222,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Sherman Oaks/Studio City"
603720,370,912,5003,1660,7945,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Westwood/West LA/Sawtelle"
603705,913,2551,1962,1652,7078,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Calabasas/Hidden Hills/Agoura Hills"
603775,2052,3473,539,788,6852,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Burbank/Toluca Lake"
605925,1444,3496,819,1079,6838,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Irvine North/Tustin Ranch"
605928,1225,4071,775,589,6660,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Newport Beach/Corona del Mar"
605923,1010,3645,1097,362,6114,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Costa Mesa/Newport Beach"
605926,1462,3051,1033,551,6097,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Lake Forest/Laguna Hills/Laguna Woods"
603730,1609,2409,597,1296,5911,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Glendale"
605921,1373,2394,558,925,5250,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Laguna Beach/Laguna Niguel/Dana Point"
605924,1074,3013,652,283,5022,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Irvine South/University Park"
603706,95,934,2172,1239,4440,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Santa Clarita/Valencia"
603770,905,2460,393,244,4002,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Woodland Hills/Canoga Park"
603728,1026,1685,383,600,3694,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","Pacific Palisades/Malibu"
611102,1029,1521,282,625,3457,"LA-Long Beach CSA","Oxnard-Thousand Oaks-Ventura","Ventura","Thousand Oaks/Westlake Village"
605922,710,1430,206,300,2646,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Orange","Mission Viejo/Rancho Santa Margarita"
603709,334,303,945,945,2527,"LA-Long Beach CSA","LA-Long Beach-Anaheim","Los Angeles","West Hills/Chatsworth"
