SERIALNO,POBP,ANC1P,ANC2P,RAC1P,HISP,SEX,AGEP,PWGTP,POBP_SP,ANC1P_SP,ANC2P_SP,RAC1P_SP,HISP_SP,RELSHIPP_SP,gen,gender,partnership_type,age_group,spouse_iran,spouse_mena,spouse_white,spouse_hsp,spouse,PERWT,AGE,BPL,ANCESTR1,ANCESTR2,RACE,HISPAN,BPL_SP,ANCESTR1_SP,ANCESTR2_SP,RACE_SP,HISPAN_SP
2024HU0238374,12,21,416,1,1,1,63,9,13,924,999,1,1,21,2nd gen,Male,Married,60-69,No,No,Yes,No,Other White,9,63,12,21,416,1,1,13,924,999,1,1
2021HU1198256,212,416,999,1,1,1,51,29,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,29,51,212,416,999,1,1,212,416,999,1,1
2022HU0043119,200,416,999,9,1,1,64,37,200,600,999,9,1,21,2nd gen,Male,Married,60-69,No,No,No,No,Other,37,64,200,416,999,9,1,200,600,999,9,1
2020HU0435642,1,22,416,1,1,2,41,3,1,999,999,1,1,22,2nd gen,Female,Unmarried partner,40-49,No,No,Yes,No,Other White,3,41,1,22,416,1,1,1,999,999,1,1
2020HU0524187,212,416,999,1,1,1,36,14,212,416,999,1,1,21,1st gen,Male,Married,30-39,Yes,Yes,Yes,No,Iranian,14,36,212,416,999,1,1,212,416,999,1,1
2020HU0767285,13,939,416,1,1,2,22,5,12,939,999,1,1,21,2nd gen,Female,Married,20-29,No,No,Yes,No,Other White,5,22,13,939,416,1,1,12,939,999,1,1
2020HU0875406,212,416,999,9,1,2,30,2,212,416,999,9,1,21,1st gen,Female,Married,30-39,Yes,Yes,No,No,Iranian,2,30,212,416,999,9,1,212,416,999,9,1
2021HU0072350,212,416,999,1,1,1,53,14,1,924,999,1,1,21,1st gen,Male,Married,50-59,No,No,Yes,No,Other White,14,53,212,416,999,1,1,1,924,999,1,1
2021HU0446808,49,416,999,1,1,1,56,10,49,50,22,1,1,21,2nd gen,Male,Married,50-59,No,No,Yes,No,Other White,10,56,49,416,999,1,1,49,50,22,1,1
2021HU0628244,212,416,999,1,1,1,39,36,26,91,999,1,1,21,1st gen,Male,Married,30-39,No,No,Yes,No,Other White,36,39,212,416,999,1,1,26,91,999,1,1
2023HU1400156,212,416,999,1,1,1,79,12,48,939,999,1,1,21,1st gen,Male,Married,70-79,No,No,Yes,No,Other White,12,79,212,416,999,1,1,48,939,999,1,1
2023HU1454598,1,416,999,9,1,2,34,6,18,51,22,1,1,21,2nd gen,Female,Married,30-39,No,No,Yes,No,Other White,6,34,1,416,999,9,1,18,51,22,1,1
2024HU0096940,212,416,999,9,1,2,58,9,212,416,999,9,1,21,1st gen,Female,Married,50-59,Yes,Yes,No,No,Iranian,9,58,212,416,999,9,1,212,416,999,9,1
2024HU0380934,212,416,999,1,1,1,62,20,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,20,62,212,416,999,1,1,212,416,999,1,1
2024HU0682150,110,32,416,1,1,2,60,14,212,416,999,1,1,23,2nd gen,Female,Married,60-69,Yes,Yes,Yes,No,Iranian,14,60,110,32,416,1,1,212,416,999,1,1
2024HU0782452,212,416,999,9,1,1,33,11,138,22,999,1,1,21,1st gen,Male,Married,30-39,No,No,Yes,No,Other White,11,33,212,416,999,9,1,138,22,999,1,1
2024HU1080659,212,999,999,1,1,2,56,22,1,97,999,1,1,21,1st gen,Female,Married,50-59,No,No,Yes,No,Other White,22,56,212,999,999,1,1,1,97,999,1,1
2024HU1249298,212,416,999,1,1,1,42,25,212,416,999,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,25,42,212,416,999,1,1,212,416,999,1,1
2022HU0394181,212,416,999,1,1,1,58,4,233,720,999,6,1,21,1st gen,Male,Married,50-59,No,No,No,No,Other,4,58,212,416,999,1,1,233,720,999,6,1
2022HU0609949,212,999,999,1,1,2,25,20,215,999,999,1,1,22,1st gen,Female,Unmarried partner,20-29,No,No,Yes,No,Other White,20,25,212,999,999,1,1,215,999,999,1,1
2022HU0666705,212,416,999,1,1,1,52,35,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,35,52,212,416,999,1,1,212,416,999,1,1
2022HU0736880,12,22,416,1,1,1,33,12,1,22,50,1,1,22,2nd gen,Male,Unmarried partner,30-39,No,No,Yes,No,Other White,12,33,12,22,416,1,1,1,22,50,1,1
2022HU0842934,212,32,50,1,1,1,60,22,13,999,999,1,1,21,1st gen,Male,Married,60-69,No,No,Yes,No,Other White,22,60,212,32,50,1,1,13,999,999,1,1
2022HU1116526,212,416,999,1,1,1,69,15,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,15,69,212,416,999,1,1,212,416,999,1,1
2022HU1126740,1,416,999,9,1,1,27,33,1,26,999,1,1,21,2nd gen,Male,Married,20-29,No,No,Yes,No,Other White,33,27,1,416,999,9,1,1,26,999,1,1
2022HU1384479,1,924,416,1,1,2,33,21,13,924,999,1,1,21,2nd gen,Female,Married,30-39,No,No,Yes,No,Other White,21,33,1,924,416,1,1,13,924,999,1,1
2023HU0118965,1,416,50,9,1,1,41,18,34,999,999,8,1,21,2nd gen,Male,Married,40-49,No,No,No,No,Other,18,41,1,416,50,9,1,34,999,999,8,1
2023HU0251610,17,416,999,9,1,2,49,84,212,416,999,9,1,21,2nd gen,Female,Married,40-49,Yes,Yes,No,No,Iranian,84,49,17,416,999,9,1,212,416,999,9,1
